id,name,description,maintain_stock,quantity,condition,warranty,created_at,updated_at,sort_order,disabled,reorder_at,taxable,upc_code,pdf,discount_percent,warranty_template_id,qb_item_id,vendor_id,desired_stock_level,notes,tax_rate_id,physical_location,xero_item_id,serialized,long_description,woo_description,woo_long_description,canonical_product_id,one_time_use,upsell_products,upsell_categories,is_shipping_product,nonbillable_time,delete,price_retail,price_cost,price_wholesale,category_path,vendor,JB Hi-Fi-SKU,Ubiquiti Warehouse-SKU,Asus-SKU,Leader Systems-SKU,Ebay-SKU,PC Case Gear-SKU,Edsys-SKU,MSY Balcatta-SKU,MSY Cannington-SKU,L&H Group-SKU,Ingram Micro-SKU,ACA Pacific-SKU,Bunnings-SKU,MM Electrical Merchandising-SKU,FairTel (Supplier)-SKU,PSA Parts-SKU,Sektor-SKU,Office Works-SKU,Synnex-SKU,serial_numbers
10267760,USB-C Docking Station,"USB Type-C Docks. USB to HDMI, VGA, DVI ect. Varies depending on model. ",true,0,New,,2019-09-04 15:14:47 +0800,2025-12-22 09:12:39 +0800,,false,,true,9350414002499,"",,18086,4838833,,,"",37894,D40,,true,,,,,false,[],[],,,"",99.0,61.6,92.0,Hardware;Computer;Peripherals and Cables;Cables,Leader Systems,,,,HXSI-CHN613,,,,,,,,,,,,,,,,""
10277157,EDG13I5500SFF,B2B i5-13400 / 512GB / 16GB / Pro Business PC slimline case - 3 Screens,true,0,New,,2019-09-05 17:20:45 +0800,2023-03-24 11:26:29 +0800,,false,,true,EDG13I5500SFF,"",,21614,3415637,,,"",37894,"",,true,,,,,false,[],[],,,"",1729.0,1063.7,0.0,Hardware;Computer;Tower,Edsys,,,,,,,EDG13I5500SFF,,,,,,,,,,,,,""
10301361,"enDURO All-In-One PC 24""","enDURO All-In-One PC, i5 13th Gen. CPU, 512GB SSD, 16GB RAM, 24"" LED, Windows 11 Pro",true,0,New,,2019-09-13 17:19:17 +0800,2025-09-25 15:30:09 +0800,,false,1,true,EDAIOI5245,"",,21614,3415393,,4,"",37894,U147,,true,,,,,false,[],[],,,"",1819.0,1393.7,0.0,Hardware;Computer;AiO,Edsys,,,,,,,EDAIOI5245,,,,,,,,,,,,,""
10365346,Wireless Bluetooth Mouse,Wireless Bluetooth Mouse,true,0,New,,2019-10-04 15:19:26 +0800,2025-11-28 17:47:12 +0800,,false,1,true,6940056184047,"",,18086,4120635,,3,"",37894,H65,,true,,,,,false,[],[],,,"",55.0,27.62,0.0,Hardware;Computer;Peripherals and Cables;KB/M,Edsys,,,,MIRP-M500,,,,,,,,,,,,,,,,""
10365347,"500GB SATA SSD 2.5""","500GB SATA SSD 2.5""",true,0,New,,2019-10-04 15:19:27 +0800,2025-11-28 17:45:31 +0800,,false,3,true,718037856308,"",,18624,3415435,,10,"",37894,"",,true,,,,,false,[],[],,,"",174.0,98.7,0.0,Hardware;Computer;Internal Components;SSD ,Leader Systems,,,,HBWD-BL25-500G,,,,,,,,,,,,,,,,""
10365349,SC OS1 Singlemode Through Coupler,SC OS1 Singlemode Through Coupler SIMPLEX,true,0,New,,2019-10-04 15:19:29 +0800,2023-06-29 13:57:42 +0800,,false,,true,015.002.0021,"",,18086,3415354,,,,37894,,,false,,,,,false,[],[],,,"",11.95,6.19,0.0,Hardware;Cabling,Leader Systems,,,,,,,,,,,,,,,,,,,,
10365350,HDMI Micro 3m,HDMI Micro 3m Male - Male,true,0,New,,2019-10-04 15:19:29 +0800,2025-11-28 17:47:12 +0800,,false,,true,9320300512050,"",,18086,3696949,,,"",37894,"",,false,,,,,false,[],[],,,"",29.95,6.81,0.0,Hardware;Computer;Peripherals and Cables;Cables,,,,,CBAT-HDMIMICRO-MM3,,,,,,,,,,,,,,,,
10365351,AC Charger USB-A + USB-C,AC Charger USB / USB-C,true,0,New,,2019-10-04 15:19:29 +0800,2025-11-28 17:47:12 +0800,,false,3,true,9350414002734,"",,18086,3719181,,10,"",37894,D34,,false,,,,,false,[],[],,,"",30.0,14.43,0.0,Hardware;Computer;Peripherals and Cables;Chargers,,,,,MPSI-CU220,,,,,,,,,,,,,,,,
10365352,VESA Mount,"Brateck TV Wall Mount  13-27"" VESA",true,0,New,,2019-10-04 15:19:29 +0800,2022-11-15 15:24:17 +0800,,false,,true,9341756012765,"",,18086,3696953,,,"",37894,"",,false,,,,,false,[],[],,,"",59.95,18.7,0.0,Hardware;Computer;Peripherals and Cables;Monitor,Leader Systems,,,,MABT-KMA21-110,,,,,,,,,,,,,,,,
10365355,Mini DisplayPort DP to HDMI Cable 1m,Mini DisplayPort DP to HDMI Cable 1m - 20 pins Male to 19 pins Male Gold plated RoHS,true,0,New,,2019-10-04 15:19:29 +0800,2025-11-28 17:47:12 +0800,,false,4,true,9320300512098,"",,18086,3696949,,8,"",37894,B18,,false,,,,,false,[],[],,,"",19.95,8.98,0.0,Hardware;Computer;Peripherals and Cables;Cables,Leader Systems,,,,CBAT-MINIDPHDMI-1,,,,,,,,,,,,,,,,
